text,response
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",stability
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",openess
has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,stability
has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,openess
thinks she needs to stop leaving so many pictures half-done before getting new ideas.,stability
thinks she needs to stop leaving so many pictures half-done before getting new ideas.,openess
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",stability
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",openess
is seeing 9 tonight... maybe?,stability
is seeing 9 tonight... maybe?,openess
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",stability
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",openess
WEEKEND. I LOVE YOU.,stability
WEEKEND. I LOVE YOU.,openess
"is listening to Relient K and thinking about plants, lawyers, and internships.",stability
"is listening to Relient K and thinking about plants, lawyers, and internships.",openess
"is drawing instead of homeworking. :| This is fun, but not good.",stability
"is drawing instead of homeworking. :| This is fun, but not good.",openess
will sleep like a champion tonight.,stability
will sleep like a champion tonight.,openess
"dishes, webcomics, laziness, internal lack of disruption. Alright.",stability
"dishes, webcomics, laziness, internal lack of disruption. Alright.",openess
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",stability
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",openess
has a magical ceiling.,stability
has a magical ceiling.,openess
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",stability
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",openess
"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday.",stability
"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday.",openess
hates FML on principle.,stability
hates FML on principle.,openess
realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.,stability
realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.,openess
"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-",stability
"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-",openess
"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu.",stability
"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu.",openess
"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome.",stability
"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome.",openess
is a little excited to see the talent show.,stability
is a little excited to see the talent show.,openess
"is tired. She would sleep, but there's a cat on her desk that requires supervision.",stability
"is tired. She would sleep, but there's a cat on her desk that requires supervision.",openess
"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell.",stability
"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell.",openess
"needs a stupid, fluffy book to read inbetween experiences of normalcy.",stability
"needs a stupid, fluffy book to read inbetween experiences of normalcy.",openess
will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.,stability
will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.,openess
"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3",stability
"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3",openess
"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)",stability
"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)",openess
needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.,stability
needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.,openess
spews toxic gas into your personal air bubble. It's super effective!,stability
spews toxic gas into your personal air bubble. It's super effective!,openess
"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3",stability
"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3",openess
"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all.",stability
"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all.",openess
"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome.",stability
"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome.",openess
"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness.",stability
"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness.",openess
has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.,stability
has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.,openess
saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.,stability
saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.,openess
"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999.",stability
"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999.",openess
", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue.",stability
", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue.",openess
Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO,stability
Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO,openess
We are not who you think we are. We are Golden.,stability
We are not who you think we are. We are Golden.,openess
I am a lumberjack with a Castro Hat.,stability
I am a lumberjack with a Castro Hat.,openess
The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.,stability
The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.,openess
actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D,stability
actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D,openess
thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.,stability
thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.,openess
drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;,stability
drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;,openess
"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!",stability
"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!",openess
"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?",stability
"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?",openess
is open to requests.,stability
is open to requests.,openess
is frankly at a loss as far as her current internal project.,stability
is frankly at a loss as far as her current internal project.,openess
is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today).,stability
is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today).,openess
can't sleep. Remedies?,stability
can't sleep. Remedies?,openess
Why are the people I want to talk to never online when I am?,stability
Why are the people I want to talk to never online when I am?,openess
"needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life.",stability
"needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life.",openess
is in love with her hair today. <3,stability
is in love with her hair today. <3,openess
"was right. :) Today was pretty much fantastic, all around.",stability
"was right. :) Today was pretty much fantastic, all around.",openess
feels tomorrow will be a busy and very nice day. :),stability
feels tomorrow will be a busy and very nice day. :),openess
is in the last day of her two-day mad dash to finish. Can she get all her work done it time???,stability
is in the last day of her two-day mad dash to finish. Can she get all her work done it time???,openess
Is it a problem if my main reason to come to Facebook now is to join groups and become a fan of things?,stability
Is it a problem if my main reason to come to Facebook now is to join groups and become a fan of things?,openess
had a three hour nap this afternoon and can't sleep because of it.,stability
had a three hour nap this afternoon and can't sleep because of it.,openess
My dogs are so hood.,stability
My dogs are so hood.,openess
"is on a roll; one short of a turkey, now.",stability
"is on a roll; one short of a turkey, now.",openess
can't breathe and feels like her insides are clawing their way out through her belly button. I hate pain.,stability
can't breathe and feels like her insides are clawing their way out through her belly button. I hate pain.,openess
is reflecting on it and is actually very happy she's not in IB right now.,stability
is reflecting on it and is actually very happy she's not in IB right now.,openess
has her class ring in with it's changes! Whoop whoop! <3 :D,stability
has her class ring in with it's changes! Whoop whoop! <3 :D,openess
KISS. KISS. LICK. <3,stability
KISS. KISS. LICK. <3,openess
is too lazy to put her stuff back in order. Maybe tomorrow.,stability
is too lazy to put her stuff back in order. Maybe tomorrow.,openess
has a serious crush on *PROPNAME*. <3,stability
has a serious crush on *PROPNAME*. <3,openess
has bed bugs..... ewwwww!,extraversion
has bed bugs..... ewwwww!,stability
has bed bugs..... ewwwww!,conscientiousness
and mosquito bites,extraversion
and mosquito bites,stability
and mosquito bites,conscientiousness
Mondays are the new thursdays- anthony bourdain + *PROPNAME*  = forgetting your financial troubles,extraversion
Mondays are the new thursdays- anthony bourdain + *PROPNAME*  = forgetting your financial troubles,stability
Mondays are the new thursdays- anthony bourdain + *PROPNAME*  = forgetting your financial troubles,conscientiousness
is annoyed with herself,extraversion
is annoyed with herself,stability
is annoyed with herself,conscientiousness
"is not turning on her cell at the moment, or for the next few days- dont take it personally.",extraversion
"is not turning on her cell at the moment, or for the next few days- dont take it personally.",stability
"is not turning on her cell at the moment, or for the next few days- dont take it personally.",conscientiousness
Is trying to figure out everything.....,extraversion
Is trying to figure out everything.....,stability
Is trying to figure out everything.....,conscientiousness
wants no more friend or exboyfriend drama drama,extraversion
wants no more friend or exboyfriend drama drama,stability
wants no more friend or exboyfriend drama drama,conscientiousness
is out for the count,extraversion
is out for the count,stability
is out for the count,conscientiousness
"Its the little things in life- fresh flowers, katie ion, netflix instant movies",extraversion
"Its the little things in life- fresh flowers, katie ion, netflix instant movies",stability
"Its the little things in life- fresh flowers, katie ion, netflix instant movies",conscientiousness
is bummed the instant movie didnt pull through,extraversion
is bummed the instant movie didnt pull through,stability
is bummed the instant movie didnt pull through,conscientiousness
wants to go to paris. anyone care to accompany me?,extraversion
wants to go to paris. anyone care to accompany me?,stability
wants to go to paris. anyone care to accompany me?,conscientiousness
one minute at a time,extraversion
one minute at a time,stability
one minute at a time,conscientiousness
Loves avoiding burning a whole in her pocket. Lesportsac purses and DVD overload.,extraversion
Loves avoiding burning a whole in her pocket. Lesportsac purses and DVD overload.,stability
Loves avoiding burning a whole in her pocket. Lesportsac purses and DVD overload.,conscientiousness
really hates California's economy right now,extraversion
really hates California's economy right now,stability
really hates California's economy right now,conscientiousness
I lost.....my ex is in a relationship before me,extraversion
I lost.....my ex is in a relationship before me,stability
I lost.....my ex is in a relationship before me,conscientiousness
"Is having a great day so far, thanks to santa paula noon meetings. and my mom.",extraversion
"Is having a great day so far, thanks to santa paula noon meetings. and my mom.",stability
"Is having a great day so far, thanks to santa paula noon meetings. and my mom.",conscientiousness
is *PROPNAME*'s bestbian,extraversion
is *PROPNAME*'s bestbian,stability
is *PROPNAME*'s bestbian,conscientiousness
misses the ability to drive,extraversion
misses the ability to drive,stability
misses the ability to drive,conscientiousness
Mi familia de la cuidad de mexico esta aqui! Necesito que practicar mi espanol.,extraversion
Mi familia de la cuidad de mexico esta aqui! Necesito que practicar mi espanol.,stability
Mi familia de la cuidad de mexico esta aqui! Necesito que practicar mi espanol.,conscientiousness
"Is wearing red lipstick, watching movies, hot boys, and her mother screech at the family dog..... ""random"" doesnt even begin to describe this scene",extraversion
"Is wearing red lipstick, watching movies, hot boys, and her mother screech at the family dog..... ""random"" doesnt even begin to describe this scene",stability
"Is wearing red lipstick, watching movies, hot boys, and her mother screech at the family dog..... ""random"" doesnt even begin to describe this scene",conscientiousness
anthony bourdain bliss,extraversion
anthony bourdain bliss,stability
anthony bourdain bliss,conscientiousness
Turbo tax tried charging me $140 dollars to process my taxes. my mom did it for free. fuck you turbo tax and thanks mom for saving the day.,extraversion
Turbo tax tried charging me $140 dollars to process my taxes. my mom did it for free. fuck you turbo tax and thanks mom for saving the day.,stability
Turbo tax tried charging me $140 dollars to process my taxes. my mom did it for free. fuck you turbo tax and thanks mom for saving the day.,conscientiousness
is on her way up north to face her judgement,extraversion
is on her way up north to face her judgement,stability
is on her way up north to face her judgement,conscientiousness
"Target is my savior- sandals, dresses and shirts, oh my!",extraversion
"Target is my savior- sandals, dresses and shirts, oh my!",stability
"Target is my savior- sandals, dresses and shirts, oh my!",conscientiousness
"is slightly smitten with the phoenix family. its weird, i know.",extraversion
"is slightly smitten with the phoenix family. its weird, i know.",stability
"is slightly smitten with the phoenix family. its weird, i know.",conscientiousness
is hoping to finally get a break tomorrow!,extraversion
is hoping to finally get a break tomorrow!,stability
is hoping to finally get a break tomorrow!,conscientiousness
rhinanna is just getting crazier and crazier. or more stupid.,extraversion
rhinanna is just getting crazier and crazier. or more stupid.,stability
rhinanna is just getting crazier and crazier. or more stupid.,conscientiousness
feels like a bum without legs,extraversion
feels like a bum without legs,stability
feels like a bum without legs,conscientiousness
"Having a job again is weird, but welcome.",extraversion
"Having a job again is weird, but welcome.",stability
"Having a job again is weird, but welcome.",conscientiousness
is 3 years to go,extraversion
is 3 years to go,stability
is 3 years to go,conscientiousness
s electronics are giving out.,extraversion
s electronics are giving out.,stability
s electronics are giving out.,conscientiousness
is celebrating her 90th day with dieting and work whahooo! not.,extraversion
is celebrating her 90th day with dieting and work whahooo! not.,stability
is celebrating her 90th day with dieting and work whahooo! not.,conscientiousness
is in love with her new black peacoat. Who else is pumped it's fall?,extraversion
is in love with her new black peacoat. Who else is pumped it's fall?,stability
is in love with her new black peacoat. Who else is pumped it's fall?,conscientiousness
is sick in an way she's never been physically sick before. feels like a hangover mixed with the flu mixed with weakness and nausea,extraversion
is sick in an way she's never been physically sick before. feels like a hangover mixed with the flu mixed with weakness and nausea,stability
is sick in an way she's never been physically sick before. feels like a hangover mixed with the flu mixed with weakness and nausea,conscientiousness
hates the business that is the United States' healthcare system,extraversion
hates the business that is the United States' healthcare system,stability
hates the business that is the United States' healthcare system,conscientiousness
thinks Rhianna's Italian Vogue photoshoot is in bad taste and inappropriate. yuck.,extraversion
thinks Rhianna's Italian Vogue photoshoot is in bad taste and inappropriate. yuck.,stability
thinks Rhianna's Italian Vogue photoshoot is in bad taste and inappropriate. yuck.,conscientiousness
is excited for NBC thursdays- especially excited for community,extraversion
is excited for NBC thursdays- especially excited for community,stability
is excited for NBC thursdays- especially excited for community,conscientiousness
is in love with *PROPNAME*.,extraversion
is in love with *PROPNAME*.,stability
is in love with *PROPNAME*.,conscientiousness
"""La Vie En Rose""- there are no words. Absolutely brilliant, honest, and beautiful movie.",extraversion
"""La Vie En Rose""- there are no words. Absolutely brilliant, honest, and beautiful movie.",stability
"""La Vie En Rose""- there are no words. Absolutely brilliant, honest, and beautiful movie.",conscientiousness
is flashing lights kanye style,extraversion
is flashing lights kanye style,stability
is flashing lights kanye style,conscientiousness
i got a break! a $3000 healthcare break! whoooooo,extraversion
i got a break! a $3000 healthcare break! whoooooo,stability
i got a break! a $3000 healthcare break! whoooooo,conscientiousness
is actually going to see someone besides my mother on my day off. No offense mom. U r fabulous but im turning into a 13-year-old not-out-of-the-closet-yet gay man by the amount of time i spend with you.,extraversion
is actually going to see someone besides my mother on my day off. No offense mom. U r fabulous but im turning into a 13-year-old not-out-of-the-closet-yet gay man by the amount of time i spend with you.,stability
is actually going to see someone besides my mother on my day off. No offense mom. U r fabulous but im turning into a 13-year-old not-out-of-the-closet-yet gay man by the amount of time i spend with you.,conscientiousness
ARGGGGGGGGGGGGG!!!!!!!,extraversion
ARGGGGGGGGGGGGG!!!!!!!,stability
ARGGGGGGGGGGGGG!!!!!!!,conscientiousness
"true blood is getting me in the halloween spirit. damn, bill is hot.",extraversion
"true blood is getting me in the halloween spirit. damn, bill is hot.",stability
"true blood is getting me in the halloween spirit. damn, bill is hot.",conscientiousness
michael scott dancing in the booze cruise episode is really entertaining to me right now.,extraversion
michael scott dancing in the booze cruise episode is really entertaining to me right now.,stability
michael scott dancing in the booze cruise episode is really entertaining to me right now.,conscientiousness
"the office, cleaning, and hanging con mi madre are my drugs of choice this evening",extraversion
"the office, cleaning, and hanging con mi madre are my drugs of choice this evening",stability
"the office, cleaning, and hanging con mi madre are my drugs of choice this evening",conscientiousness
RIP Prague nights Fall semester 2007,extraversion
RIP Prague nights Fall semester 2007,stability
RIP Prague nights Fall semester 2007,conscientiousness
needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?,extraversion
needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?,stability
needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?,conscientiousness
"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!",extraversion
"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!",stability
"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!",conscientiousness
is ready for her day off,extraversion
is ready for her day off,stability
is ready for her day off,conscientiousness
life is looking up,extraversion
life is looking up,stability
life is looking up,conscientiousness
is excited to kick it old school with an old friend in a new place,extraversion
is excited to kick it old school with an old friend in a new place,stability
is excited to kick it old school with an old friend in a new place,conscientiousness
"why does netflix need me to have at least 6 dvds in my queue? i think 5 is quite enough, thank you gluttonous 'merica.",extraversion
"why does netflix need me to have at least 6 dvds in my queue? i think 5 is quite enough, thank you gluttonous 'merica.",stability
"why does netflix need me to have at least 6 dvds in my queue? i think 5 is quite enough, thank you gluttonous 'merica.",conscientiousness
is rediscovering her love for bjork,extraversion
is rediscovering her love for bjork,stability
is rediscovering her love for bjork,conscientiousness
"money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress for $40(!!!), some warm and comfy- themed xmas shopping, spending time with mom, coffee, sephora.com, the office, stepping outside and forgetting how cold it gets without proper coverage- productive and selfindulgent bliss. not a bad day off.",extraversion
"money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress for $40(!!!), some warm and comfy- themed xmas shopping, spending time with mom, coffee, sephora.com, the office, stepping outside and forgetting how cold it gets without proper coverage- productive and selfindulgent bliss. not a bad day off.",stability
"money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress for $40(!!!), some warm and comfy- themed xmas shopping, spending time with mom, coffee, sephora.com, the office, stepping outside and forgetting how cold it gets without proper coverage- productive and selfindulgent bliss. not a bad day off.",conscientiousness
wants to find a way to san fran after the new year,extraversion
wants to find a way to san fran after the new year,stability
wants to find a way to san fran after the new year,conscientiousness
is in love. With *PROPNAME*.,extraversion
is in love. With *PROPNAME*.,stability
is in love. With *PROPNAME*.,conscientiousness
is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed,extraversion
is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed,stability
is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed,conscientiousness
thank you to everyone who sent me fb love and made my birthday more special than i could ever have imagined. im sooooooo lucky to have so many great souls in my life.,extraversion
thank you to everyone who sent me fb love and made my birthday more special than i could ever have imagined. im sooooooo lucky to have so many great souls in my life.,stability
thank you to everyone who sent me fb love and made my birthday more special than i could ever have imagined. im sooooooo lucky to have so many great souls in my life.,conscientiousness
is very excite for today and this weekend.,extraversion
is very excite for today and this weekend.,stability
is very excite for today and this weekend.,conscientiousness
its a beautiful fall day in southern california.,extraversion
its a beautiful fall day in southern california.,stability
its a beautiful fall day in southern california.,conscientiousness
s g-ma is the coolest,extraversion
s g-ma is the coolest,stability
s g-ma is the coolest,conscientiousness
wishes she was moving on up in the world. but at least she has ja'mie to get her through it.,extraversion
wishes she was moving on up in the world. but at least she has ja'mie to get her through it.,stability
wishes she was moving on up in the world. but at least she has ja'mie to get her through it.,conscientiousness
Today is my 2 month birthday!,extraversion
Today is my 2 month birthday!,stability
Today is my 2 month birthday!,conscientiousness
intervention- heroine and xanax and crack- oh my.,extraversion
intervention- heroine and xanax and crack- oh my.,stability
intervention- heroine and xanax and crack- oh my.,conscientiousness
"is having a bad day. not even target, shoes, nor a good guacamole carls jr. burger could bring me up.",extraversion
"is having a bad day. not even target, shoes, nor a good guacamole carls jr. burger could bring me up.",stability
"is having a bad day. not even target, shoes, nor a good guacamole carls jr. burger could bring me up.",conscientiousness
"summer heights high. ja'mie, jonah, and mr. g. im hooked on chris lilley.",extraversion
"summer heights high. ja'mie, jonah, and mr. g. im hooked on chris lilley.",stability
"summer heights high. ja'mie, jonah, and mr. g. im hooked on chris lilley.",conscientiousness
"Um, amy poehler is rocking my world right now. seriously, the bad date rant was HYSTERICAL. tivo that shit. and by that shit, i mean parks and recreation.",extraversion
"Um, amy poehler is rocking my world right now. seriously, the bad date rant was HYSTERICAL. tivo that shit. and by that shit, i mean parks and recreation.",stability
"Um, amy poehler is rocking my world right now. seriously, the bad date rant was HYSTERICAL. tivo that shit. and by that shit, i mean parks and recreation.",conscientiousness
Ten Movies to Watch Right Now (and some you can Instant Netflix) 1. La Vie En Rose 2. Shrink (if you love LA) 3. Paris Je'taime (if you love Paris) 3. Clay Pidgeons (*PROPNAME* is priceless) 4. Quills 5. Away We Go 6. Sunshine Cleaning 7. A League of Their Own 8. Smart People (I Heart *PROPNAME*'s Page and SJP) 9. Frost//Nixon 10. Doubt,extraversion
Ten Movies to Watch Right Now (and some you can Instant Netflix) 1. La Vie En Rose 2. Shrink (if you love LA) 3. Paris Je'taime (if you love Paris) 3. Clay Pidgeons (*PROPNAME* is priceless) 4. Quills 5. Away We Go 6. Sunshine Cleaning 7. A League of Their Own 8. Smart People (I Heart *PROPNAME*'s Page and SJP) 9. Frost//Nixon 10. Doubt,stability
Ten Movies to Watch Right Now (and some you can Instant Netflix) 1. La Vie En Rose 2. Shrink (if you love LA) 3. Paris Je'taime (if you love Paris) 3. Clay Pidgeons (*PROPNAME* is priceless) 4. Quills 5. Away We Go 6. Sunshine Cleaning 7. A League of Their Own 8. Smart People (I Heart *PROPNAME*'s Page and SJP) 9. Frost//Nixon 10. Doubt,conscientiousness
"is stuck on Band-Aid brand, cuz Band-Aid's stuck on me!",extraversion
"is stuck on Band-Aid brand, cuz Band-Aid's stuck on me!",agreeableness
