text,response
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",stability
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",openess
has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,stability
has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,openess
thinks she needs to stop leaving so many pictures half-done before getting new ideas.,stability
thinks she needs to stop leaving so many pictures half-done before getting new ideas.,openess
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",stability
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",openess
is seeing 9 tonight... maybe?,stability
is seeing 9 tonight... maybe?,openess
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",stability
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",openess
WEEKEND. I LOVE YOU.,stability
WEEKEND. I LOVE YOU.,openess
"is listening to Relient K and thinking about plants, lawyers, and internships.",stability
"is listening to Relient K and thinking about plants, lawyers, and internships.",openess
"is drawing instead of homeworking. :| This is fun, but not good.",stability
"is drawing instead of homeworking. :| This is fun, but not good.",openess
will sleep like a champion tonight.,stability
will sleep like a champion tonight.,openess
"dishes, webcomics, laziness, internal lack of disruption. Alright.",stability
"dishes, webcomics, laziness, internal lack of disruption. Alright.",openess
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",stability
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",openess
has a magical ceiling.,stability
has a magical ceiling.,openess
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",stability
